Name,Gender
safwah,Female
naveed,Male
zuhrah,Female
safuh,Male
naseemah,Female
sabil,Male
ikraam,Female
mumayyaz,Female
aaeesha,Female
rabar,Male
zuhayr,Male
hussein,Male
wakil,Male
simah,Female
gharam,Female
samman,Male
musheer,Male
nurayda,Female
jumaymah,Female
hujaymah,Female
abualkhayr,Male
lahiah,Male
umayyah,Male
amr,Male
masooma,Female
khairah,Female
haq,Male
suja,Female
rahma,Female
harun,Male
jameela,Female
ghusharib,Male
adla,Female
maymun,Male
aryisha,Female
intessar,Female
thahera,Female
sukaynah,Female
samia,Female
ilmeeyat,Female
duaa,Female
aiza,Female
sahib,Male
asifa,Female
sayf,Male
nibal,Female
rahmah,Female
taymullah,Male
razan,Female
unais,Male
wajdaan,Male
roma,Female
nudhar,Female
ahmad,Male
karimah,Female
mubashir,Male
taufiq,Male
basbas,Female
waqas,Male
faizaan,Male
sheen,Female
fayzan,Male
ghazanfar,Male
warda,Female
durrah,Female
kardal,Male
habiba,Female
awn,Male
aasim,Male
thumamah,Male
asalah,Female
nazanin,Female
zuhayra,Female
najmah,Female
bashir,Male
shehla,Female
aadila,Female
mahwish,Female
fakhir,Male
sheenaz,Female
khulus,Male
sofian,Male
makarim,Female
abdulmuzanni,Male
noman,Male
mutashim,Male
jawharah,Female
maysaa,Female
tahsin,Male
ghadir,Female
wiyyam,Female
wahban,Male
adbulqawi,Male
raghidah,Female
saqer,Male
amal,Female
hilwana,Female
shaheem,Male
munahid,Male
shahbaz,Male
ghiyath,Male
rowel,Male
nadimah,Female
tariq,Male
anisah,Female
hibbah,Female
afeerah,Female
najla,Female
safdar,Male
jasim,Male
azra,Female
manab,Female
alya,Female
fateenah,Female
elamin,Male
sadia,Female
inaya,Female
fusaylah,Female
safeer,Male
shahnaz,Female
rafeek,Male
abdurrashid,Male
hikmat,Female
meena,Female
malmal,Female
kamaliyah,Female
hurya,Female
marah,Female
mayyadah,Female
mehr,Female
irsa,Female
fidyan,Male
karim,Male
nahid,Male
mouna,Female
nasifah,Female
zaheer,Male
humaid,Male
kadar,Male
intizar,Male
sarah,Female
taalia,Female
zulfaqar,Male
haytham,Male
rijja,Female
ermina,Female
zafrul,Male
sadiah,Female
doaa,Female
sharayah,Female
ayat,Female
walidah,Female
tajaldin,Male
faeezah,Female
uday,Male
sakhr,Male
jan,Male
muslih,Male
murtaza,Male
umnia,Female
imadaldin,Male
nusaibah,Female
kazim,Male
benazir,Female
saheim,Male
aliyah,Female
imtiyaz,Male
sultaan,Male
atifah,Female
fariha,Female
zaroon,Male
iqraam,Male
latifah,Female
wafeeq,Male
natasha,Female
adiy,Male
gohar,Male
izdihaar,Female
khalisah,Female
sumlina,Female
ambareen,Female
syed,Male
ameera,Female
baligh,Male
lubaid,Male
asif,Male
luay,Male
reja,Female
noriza,Female
aatikah,Female
suhaib,Male
hamdan,Male
wafiyah,Female
aws,Male
wasfiyah,Female
fawwaz,Male
aneezah,Female
maaz,Male
khafid,Male
hashir,Male
suhaym,Male
abdulmunim,Male
abdulmateen,Male
amima,Female
aaryan,Male
sehrish,Female
sadoof,Female
safiyallah,Male
malaikah,Female
labib,Male
hashid,Male
hazimah,Female
abdulmuhyee,Male
saleema,Female
shaymaa,Female
yara,Female
shakir,Male
aalim,Male
shakeelah,Female
aighar,Female
lutfiyah,Female
abdulqaadir,Male
mulhim,Male
unal,Male
wafa,Female
makin,Male
abdurrauf,Male
humza,Male
firdaws,Female
shamil,Male
hujayrah,Female
zayer,Male
shihad,Male
liyaqat,Male
maira,Female
salsabeel,Female
nurjenna,Female
anwaar,Male
shanzay,Female
raashid,Male
taima,Female
zeena,Female
khursheed,Male
imam,Male
ramiz,Male
seham,Female
iftin,Female
anousha,Female
aasia,Female
udail,Male
muqatadir,Male
khasib,Male
shudun,Female
sarfraz,Male
muallim,Male
almaas,Female
bishr,Male
fakihah,Female
nissa,Female
thabit,Male
aimen,Female
yamamah,Female
shahnoor,Female
ghadah,Female
waddah,Male
arshaq,Male
nuzhah,Female
beena,Female
zulfa,Female
nasirah,Female
alika,Female
laaibah,Female
sumrah,Female
isma,Female
tunveer,Male
shameel,Male
ziad,Male
jafar,Male
silah,Male
rabit,Male
